Year,Nationality code,Sex,Age group,Immigrant count,Predictions_rnn_agg,Lower limit_agg,Upper limit_agg
2008,DEU,Both,45 - 54,1474,1449,1244,1748
2008,DEU,Both,55 - 64,1461,1475,1227,1779
2008,DEU,Both,65+,1584,1582,1307,1844
2008,DEU,Both,All,11282,10865,10022,12960
2008,DEU,Females,0 - 14,583,637,428,621
2008,DEU,Females,15 - 24,939,997,731,1136
2008,DEU,Females,25 - 34,1336,1296,1055,1495
2008,DEU,Males,65+,870,793,626,947
2008,DEU,Females,35 - 44,792,771,644,904
2008,DEU,Females,55 - 64,718,711,591,877
2008,DEU,Females,65+,713,823,636,912
2008,DEU,Females,All,5733,5856,5116,6609
2008,DEU,Males,0 - 14,506,613,458,653
2008,DEU,Males,15 - 24,452,724,523,881
2008,DEU,Males,25 - 34,1119,1124,960,1340
2008,DEU,Males,35 - 44,1034,903,711,1050
2008,DEU,Females,45 - 54,653,715,583,818
2008,HND,Males,25 - 34,490,365,271,469
2008,HND,Males,35 - 44,217,147,106,190
2008,HND,Males,45 - 54,58,45,36,66
2008,ITA,Males,25 - 34,3822,2983,2583,3844
2008,ITA,Males,35 - 44,1458,1235,1110,1656
2008,ITA,Males,45 - 54,660,614,553,786
2008,ITA,Males,55 - 64,394,362,308,438
2008,ITA,Males,65+,256,277,222,319
2008,ITA,Males,All,9111,7657,7091,9973
2008,MAR,Both,0 - 14,12484,12027,9816,13833
2008,ITA,Males,15 - 24,1751,1510,1265,1780
2008,MAR,Both,15 - 24,20927,19194,15134,21636
2008,MAR,Both,35 - 44,9751,9478,7904,11136
2008,MAR,Both,45 - 54,2840,3185,2793,3927
2008,MAR,Both,55 - 64,945,1168,1103,1780
2008,MAR,Both,65+,661,868,699,1189
2008,MAR,Both,All,71761,61835,51434,71795
2008,MAR,Females,0 - 14,5677,5870,4098,6097
2008,MAR,Females,15 - 24,9399,8601,6834,10158
2008,MAR,Both,25 - 34,24154,23786,17621,23989
2008,ITA,Males,0 - 14,770,833,576,882
2008,ITA,Females,All,6771,6763,5832,7703
2008,ITA,Females,65+,275,346,234,371
2008,HND,Males,55 - 64,13,14,9,16
2008,HND,Males,65+,4,5,4,7
2008,HND,Males,All,1379,1228,970,1486
2008,ITA,Both,0 - 14,1468,1632,1111,1533
2008,ITA,Both,15 - 24,3178,3069,2496,3331
2008,ITA,Both,25 - 34,6492,6151,4741,6735
2008,ITA,Both,35 - 44,2269,2003,1947,2597
2008,ITA,Both,45 - 54,1158,1210,973,1323
2008,ITA,Both,55 - 64,785,758,635,887
2008,ITA,Both,65+,531,580,487,690
2008,ITA,Both,All,15882,15064,12907,17369
2008,ITA,Females,0 - 14,697,754,509,721
2008,ITA,Females,15 - 24,1427,1506,1174,1589
2008,ITA,Females,25 - 34,2672,2812,2111,2961
2008,ITA,Females,35 - 44,812,822,762,1036
2008,ITA,Females,45 - 54,498,493,401,568
2008,ITA,Females,55 - 64,389,383,303,435
2008,DEU,Both,35 - 44,1826,1647,1394,1924
2008,DEU,Both,25 - 34,2455,2470,2096,2790
2008,DEU,Males,45 - 54,823,801,633,936
2008,DEU,Both,0 - 14,1090,1231,896,1204
2008,DOM,Males,0 - 14,1567,1525,1239,1754
2008,DOM,Males,15 - 24,1669,2020,1442,2010
2008,DOM,Males,25 - 34,1974,1926,1514,2161
2008,DOM,Males,35 - 44,1308,1003,784,1156
2008,DOM,Males,45 - 54,422,344,277,408
2008,DOM,Males,55 - 64,89,84,62,97
2008,DOM,Males,65+,25,28,24,42
2008,DEU,Both,15 - 24,1392,1678,1306,1886
2008,DOM,Males,All,7056,6557,5474,7519
2008,ECU,Both,15 - 24,10061,6826,4785,8811
2008,ECU,Both,25 - 34,6393,6351,5564,7949
2008,ECU,Both,35 - 44,3553,3215,2313,3485
2008,ECU,Both,45 - 54,1561,1228,960,1593
2008,ECU,Both,55 - 64,479,443,298,484
2008,ECU,Both,65+,143,167,138,226
2008,ECU,Both,All,32464,21680,17346,29030
2008,ECU,Both,0 - 14,10274,4258,3565,7082
2008,DOM,Females,65+,78,62,53,94
2008,DOM,Females,55 - 64,135,160,120,192
2008,DOM,Females,45 - 54,547,462,390,568
2008,CUB,Males,35 - 44,1071,849,627,970
2008,CUB,Males,45 - 54,444,481,360,591
2008,CUB,Males,55 - 64,250,224,168,255
2008,CUB,Males,65+,146,170,112,169
2008,CUB,Males,All,4094,4180,3139,4770
2008,DOM,Both,0 - 14,3189,3057,2601,3509
2008,DOM,Both,15 - 24,3883,4238,3593,4790
