Total Nacional, Comunidad Autónoma y Provincia;Nacionalidad;Periodo;Total
14 Córdoba;Paraguay;2021;121
14 Córdoba;Perú;2022;123
14 Córdoba;Perú;2021;59
14 Córdoba;Uruguay;2022;15
14 Córdoba;Uruguay;2021;6
14 Córdoba;Venezuela;2022;375
14 Córdoba;Venezuela;2021;153
14 Córdoba;Otro país de Sudamérica;2022;0
14 Córdoba;Otro país de Sudamérica;2021;0
14 Córdoba;De Asia;2022;185
14 Córdoba;De Asia;2021;192
14 Córdoba;Bangladesh;2022;2
14 Córdoba;Bangladesh;2021;1
14 Córdoba;China;2022;34
14 Córdoba;China;2021;64
14 Córdoba;Filipinas;2022;9
14 Córdoba;Filipinas;2021;7
14 Córdoba;India;2022;2
14 Córdoba;India;2021;4
14 Córdoba;Pakistán;2022;58
14 Córdoba;Pakistán;2021;54
14 Córdoba;Otro país de Asia;2022;80
14 Córdoba;Otro país de Asia;2021;62
14 Córdoba;De Oceanía;2022;2
14 Córdoba;De Oceanía;2021;3
14 Córdoba;Apátridas;2022;2
14 Córdoba;Apátridas;2021;5
18 Granada;Total;2022;17.554
18 Granada;Total;2021;14.049
18 Granada;Española;2022;2.654
18 Granada;Española;2021;2.433
18 Granada;UE27_2020 sin España;2022;2.609
