National Total;Nationality;Periodo;Total
15 Navarra, Comunidad Foral de;Mauritania;2013;9
15 Navarra, Comunidad Foral de;Mauritania;2012;6
15 Navarra, Comunidad Foral de;Mauritania;2011;4
15 Navarra, Comunidad Foral de;Mauritania;2010;2
15 Navarra, Comunidad Foral de;Mauritania;2009;7
15 Navarra, Comunidad Foral de;Mauritania;2008;15
15 Navarra, Comunidad Foral de;Nigeria;2021;51
15 Navarra, Comunidad Foral de;Nigeria;2020;60
15 Navarra, Comunidad Foral de;Nigeria;2019;77
15 Navarra, Comunidad Foral de;Nigeria;2018;94
15 Navarra, Comunidad Foral de;Nigeria;2017;66
15 Navarra, Comunidad Foral de;Nigeria;2016;49
15 Navarra, Comunidad Foral de;Nigeria;2015;36
15 Navarra, Comunidad Foral de;Nigeria;2014;27
15 Navarra, Comunidad Foral de;Nigeria;2013;29
15 Navarra, Comunidad Foral de;Nigeria;2012;37
15 Navarra, Comunidad Foral de;Nigeria;2011;64
15 Navarra, Comunidad Foral de;Nigeria;2010;53
15 Navarra, Comunidad Foral de;Nigeria;2009;81
15 Navarra, Comunidad Foral de;Nigeria;2008;119
15 Navarra, Comunidad Foral de;Senegal;2021;73
15 Navarra, Comunidad Foral de;Senegal;2020;71
15 Navarra, Comunidad Foral de;Senegal;2019;87
15 Navarra, Comunidad Foral de;Senegal;2018;75
15 Navarra, Comunidad Foral de;Senegal;2017;56
15 Navarra, Comunidad Foral de;Senegal;2016;58
15 Navarra, Comunidad Foral de;Senegal;2015;53
15 Navarra, Comunidad Foral de;Senegal;2014;52
15 Navarra, Comunidad Foral de;Senegal;2013;36
15 Navarra, Comunidad Foral de;Senegal;2012;27
15 Navarra, Comunidad Foral de;Senegal;2011;41
15 Navarra, Comunidad Foral de;Senegal;2010;43
15 Navarra, Comunidad Foral de;Senegal;2009;89
15 Navarra, Comunidad Foral de;Senegal;2008;106
15 Navarra, Comunidad Foral de;Other African countries;2021;45
15 Navarra, Comunidad Foral de;Other African countries;2020;65
15 Navarra, Comunidad Foral de;Other African countries;2019;80
15 Navarra, Comunidad Foral de;Other African countries;2018;66
15 Navarra, Comunidad Foral de;Other African countries;2017;58
15 Navarra, Comunidad Foral de;Other African countries;2016;71
15 Navarra, Comunidad Foral de;Other African countries;2015;48
15 Navarra, Comunidad Foral de;Other African countries;2014;57
15 Navarra, Comunidad Foral de;Other African countries;2013;62
15 Navarra, Comunidad Foral de;Other African countries;2012;36
15 Navarra, Comunidad Foral de;Other African countries;2011;53
15 Navarra, Comunidad Foral de;Other African countries;2010;69
15 Navarra, Comunidad Foral de;Other African countries;2009;86
15 Navarra, Comunidad Foral de;Other African countries;2008;96
15 Navarra, Comunidad Foral de;De América del Norte;2021;201
15 Navarra, Comunidad Foral de;De América del Norte;2020;111
15 Navarra, Comunidad Foral de;De América del Norte;2019;154
15 Navarra, Comunidad Foral de;De América del Norte;2018;239
15 Navarra, Comunidad Foral de;De América del Norte;2017;208
15 Navarra, Comunidad Foral de;De América del Norte;2016;140
15 Navarra, Comunidad Foral de;De América del Norte;2015;131
15 Navarra, Comunidad Foral de;De América del Norte;2014;116
15 Navarra, Comunidad Foral de;De América del Norte;2013;118
15 Navarra, Comunidad Foral de;De América del Norte;2012;134
15 Navarra, Comunidad Foral de;De América del Norte;2011;149
15 Navarra, Comunidad Foral de;De América del Norte;2010;142
15 Navarra, Comunidad Foral de;De América del Norte;2009;117
15 Navarra, Comunidad Foral de;De América del Norte;2008;120
15 Navarra, Comunidad Foral de;United States of America;2021;77
15 Navarra, Comunidad Foral de;United States of America;2020;48
15 Navarra, Comunidad Foral de;United States of America;2019;58
15 Navarra, Comunidad Foral de;United States of America;2018;97
15 Navarra, Comunidad Foral de;United States of America;2017;95
15 Navarra, Comunidad Foral de;United States of America;2016;67
15 Navarra, Comunidad Foral de;United States of America;2015;65
15 Navarra, Comunidad Foral de;United States of America;2014;51
15 Navarra, Comunidad Foral de;United States of America;2013;55
15 Navarra, Comunidad Foral de;United States of America;2012;59
15 Navarra, Comunidad Foral de;United States of America;2011;51
15 Navarra, Comunidad Foral de;United States of America;2010;48
15 Navarra, Comunidad Foral de;United States of America;2009;42
15 Navarra, Comunidad Foral de;United States of America;2008;44
15 Navarra, Comunidad Foral de;Mexico;2021;122
15 Navarra, Comunidad Foral de;Mexico;2020;58
15 Navarra, Comunidad Foral de;Mexico;2019;94
15 Navarra, Comunidad Foral de;Mexico;2018;129
15 Navarra, Comunidad Foral de;Mexico;2017;105
15 Navarra, Comunidad Foral de;Mexico;2016;68
15 Navarra, Comunidad Foral de;Mexico;2015;64
15 Navarra, Comunidad Foral de;Mexico;2014;58
15 Navarra, Comunidad Foral de;Mexico;2013;58
15 Navarra, Comunidad Foral de;Mexico;2012;70
15 Navarra, Comunidad Foral de;Mexico;2011;77
15 Navarra, Comunidad Foral de;Mexico;2010;90
15 Navarra, Comunidad Foral de;Mexico;2009;72
15 Navarra, Comunidad Foral de;Mexico;2008;70
15 Navarra, Comunidad Foral de;Canada;2021;2
15 Navarra, Comunidad Foral de;Canada;2020;5
15 Navarra, Comunidad Foral de;Canada;2019;2
15 Navarra, Comunidad Foral de;Canada;2018;13
15 Navarra, Comunidad Foral de;Canada;2017;8
15 Navarra, Comunidad Foral de;Canada;2016;5
15 Navarra, Comunidad Foral de;Canada;2015;2
15 Navarra, Comunidad Foral de;Canada;2014;6
15 Navarra, Comunidad Foral de;Canada;2013;5
15 Navarra, Comunidad Foral de;Canada;2012;5
15 Navarra, Comunidad Foral de;Canada;2011;20
15 Navarra, Comunidad Foral de;Canada;2010;4
15 Navarra, Comunidad Foral de;Canada;2009;3
15 Navarra, Comunidad Foral de;Canada;2008;6
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2021;526
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2020;594
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2019;1.153
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2018;1.028
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2017;745
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2016;496
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2015;372
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2014;361
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2013;304
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2012;415
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2011;465
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2010;346
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2009;317
15 Navarra, Comunidad Foral de;De Centro América y Caribe;2008;466
15 Navarra, Comunidad Foral de;Cuba;2021;97
15 Navarra, Comunidad Foral de;Cuba;2020;55
15 Navarra, Comunidad Foral de;Cuba;2019;117
15 Navarra, Comunidad Foral de;Cuba;2018;105
15 Navarra, Comunidad Foral de;Cuba;2017;71
15 Navarra, Comunidad Foral de;Cuba;2016;53
15 Navarra, Comunidad Foral de;Cuba;2015;35
15 Navarra, Comunidad Foral de;Cuba;2014;59
15 Navarra, Comunidad Foral de;Cuba;2013;51
15 Navarra, Comunidad Foral de;Cuba;2012;62
15 Navarra, Comunidad Foral de;Cuba;2011;59
15 Navarra, Comunidad Foral de;Cuba;2010;40
15 Navarra, Comunidad Foral de;Cuba;2009;50
15 Navarra, Comunidad Foral de;Cuba;2008;74
15 Navarra, Comunidad Foral de;Honduras;2021;126
15 Navarra, Comunidad Foral de;Honduras;2020;152
15 Navarra, Comunidad Foral de;Honduras;2019;304
15 Navarra, Comunidad Foral de;Honduras;2018;247
15 Navarra, Comunidad Foral de;Honduras;2017;152
15 Navarra, Comunidad Foral de;Honduras;2016;90
15 Navarra, Comunidad Foral de;Honduras;2015;59
15 Navarra, Comunidad Foral de;Honduras;2014;49
15 Navarra, Comunidad Foral de;Honduras;2013;21
15 Navarra, Comunidad Foral de;Honduras;2012;45
15 Navarra, Comunidad Foral de;Honduras;2011;43
15 Navarra, Comunidad Foral de;Honduras;2010;41
15 Navarra, Comunidad Foral de;Honduras;2009;26
15 Navarra, Comunidad Foral de;Honduras;2008;25
15 Navarra, Comunidad Foral de;Nicaragua;2021;101
15 Navarra, Comunidad Foral de;Nicaragua;2020;212
15 Navarra, Comunidad Foral de;Nicaragua;2019;444
15 Navarra, Comunidad Foral de;Nicaragua;2018;391
15 Navarra, Comunidad Foral de;Nicaragua;2017;253
15 Navarra, Comunidad Foral de;Nicaragua;2016;157
15 Navarra, Comunidad Foral de;Nicaragua;2015;115
15 Navarra, Comunidad Foral de;Nicaragua;2014;82
15 Navarra, Comunidad Foral de;Nicaragua;2013;61
15 Navarra, Comunidad Foral de;Nicaragua;2012;56
15 Navarra, Comunidad Foral de;Nicaragua;2011;114
15 Navarra, Comunidad Foral de;Nicaragua;2010;76
15 Navarra, Comunidad Foral de;Nicaragua;2009;52
15 Navarra, Comunidad Foral de;Nicaragua;2008;43
15 Navarra, Comunidad Foral de;Dominican Republic;2021;100
15 Navarra, Comunidad Foral de;Dominican Republic;2020;96
15 Navarra, Comunidad Foral de;Dominican Republic;2019;165
15 Navarra, Comunidad Foral de;Dominican Republic;2018;148
15 Navarra, Comunidad Foral de;Dominican Republic;2017;149
15 Navarra, Comunidad Foral de;Dominican Republic;2016;115
15 Navarra, Comunidad Foral de;Dominican Republic;2015;101
15 Navarra, Comunidad Foral de;Dominican Republic;2014;120
15 Navarra, Comunidad Foral de;Dominican Republic;2013;123
15 Navarra, Comunidad Foral de;Dominican Republic;2012;191
15 Navarra, Comunidad Foral de;Dominican Republic;2011;200
15 Navarra, Comunidad Foral de;Dominican Republic;2010;131
15 Navarra, Comunidad Foral de;Dominican Republic;2009;155
15 Navarra, Comunidad Foral de;Dominican Republic;2008;270
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2021;102
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2020;79
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2019;123
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2018;137
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2017;120
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2016;82
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2015;63
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2014;52
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2013;49
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2012;60
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2011;50
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2010;57
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2009;34
15 Navarra, Comunidad Foral de;Other Central American and Caribbean countries;2008;54
15 Navarra, Comunidad Foral de;De Sudamérica;2021;1.900
15 Navarra, Comunidad Foral de;De Sudamérica;2020;1.999
15 Navarra, Comunidad Foral de;De Sudamérica;2019;3.594
15 Navarra, Comunidad Foral de;De Sudamérica;2018;2.900
15 Navarra, Comunidad Foral de;De Sudamérica;2017;2.116
15 Navarra, Comunidad Foral de;De Sudamérica;2016;1.373
15 Navarra, Comunidad Foral de;De Sudamérica;2015;801
15 Navarra, Comunidad Foral de;De Sudamérica;2014;805
15 Navarra, Comunidad Foral de;De Sudamérica;2013;738
15 Navarra, Comunidad Foral de;De Sudamérica;2012;803
15 Navarra, Comunidad Foral de;De Sudamérica;2011;1.064
15 Navarra, Comunidad Foral de;De Sudamérica;2010;1.017
15 Navarra, Comunidad Foral de;De Sudamérica;2009;1.477
15 Navarra, Comunidad Foral de;De Sudamérica;2008;2.700
15 Navarra, Comunidad Foral de;Argentina;2021;135
15 Navarra, Comunidad Foral de;Argentina;2020;78
15 Navarra, Comunidad Foral de;Argentina;2019;144
15 Navarra, Comunidad Foral de;Argentina;2018;101
15 Navarra, Comunidad Foral de;Argentina;2017;77
15 Navarra, Comunidad Foral de;Argentina;2016;47
15 Navarra, Comunidad Foral de;Argentina;2015;38
15 Navarra, Comunidad Foral de;Argentina;2014;42
15 Navarra, Comunidad Foral de;Argentina;2013;38
15 Navarra, Comunidad Foral de;Argentina;2012;40
15 Navarra, Comunidad Foral de;Argentina;2011;60
15 Navarra, Comunidad Foral de;Argentina;2010;57
15 Navarra, Comunidad Foral de;Argentina;2009;54
15 Navarra, Comunidad Foral de;Argentina;2008;96
15 Navarra, Comunidad Foral de;Bolivia;2021;67
15 Navarra, Comunidad Foral de;Bolivia;2020;63
15 Navarra, Comunidad Foral de;Bolivia;2019;151
15 Navarra, Comunidad Foral de;Bolivia;2018;177
15 Navarra, Comunidad Foral de;Bolivia;2017;166
15 Navarra, Comunidad Foral de;Bolivia;2016;176
15 Navarra, Comunidad Foral de;Bolivia;2015;118
15 Navarra, Comunidad Foral de;Bolivia;2014;148
15 Navarra, Comunidad Foral de;Bolivia;2013;91
15 Navarra, Comunidad Foral de;Bolivia;2012;92
15 Navarra, Comunidad Foral de;Bolivia;2011;92
15 Navarra, Comunidad Foral de;Bolivia;2010;52
15 Navarra, Comunidad Foral de;Bolivia;2009;47
15 Navarra, Comunidad Foral de;Bolivia;2008;84
15 Navarra, Comunidad Foral de;Brazil;2021;144
15 Navarra, Comunidad Foral de;Brazil;2020;208
15 Navarra, Comunidad Foral de;Brazil;2019;304
15 Navarra, Comunidad Foral de;Brazil;2018;278
15 Navarra, Comunidad Foral de;Brazil;2017;226
15 Navarra, Comunidad Foral de;Brazil;2016;157
15 Navarra, Comunidad Foral de;Brazil;2015;125
15 Navarra, Comunidad Foral de;Brazil;2014;112
15 Navarra, Comunidad Foral de;Brazil;2013;98
15 Navarra, Comunidad Foral de;Brazil;2012;141
15 Navarra, Comunidad Foral de;Brazil;2011;159
15 Navarra, Comunidad Foral de;Brazil;2010;170
15 Navarra, Comunidad Foral de;Brazil;2009;206
15 Navarra, Comunidad Foral de;Brazil;2008;286
15 Navarra, Comunidad Foral de;Colombia;2021;687
15 Navarra, Comunidad Foral de;Colombia;2020;812
15 Navarra, Comunidad Foral de;Colombia;2019;1.400
15 Navarra, Comunidad Foral de;Colombia;2018;1.049
15 Navarra, Comunidad Foral de;Colombia;2017;673
15 Navarra, Comunidad Foral de;Colombia;2016;403
15 Navarra, Comunidad Foral de;Colombia;2015;145
15 Navarra, Comunidad Foral de;Colombia;2014;155
15 Navarra, Comunidad Foral de;Colombia;2013;165
15 Navarra, Comunidad Foral de;Colombia;2012;161
15 Navarra, Comunidad Foral de;Colombia;2011;241
15 Navarra, Comunidad Foral de;Colombia;2010;269
15 Navarra, Comunidad Foral de;Colombia;2009;373
15 Navarra, Comunidad Foral de;Colombia;2008;627
15 Navarra, Comunidad Foral de;Chile;2021;58
15 Navarra, Comunidad Foral de;Chile;2020;25
15 Navarra, Comunidad Foral de;Chile;2019;37
15 Navarra, Comunidad Foral de;Chile;2018;47
15 Navarra, Comunidad Foral de;Chile;2017;36
15 Navarra, Comunidad Foral de;Chile;2016;32
15 Navarra, Comunidad Foral de;Chile;2015;18
15 Navarra, Comunidad Foral de;Chile;2014;22
15 Navarra, Comunidad Foral de;Chile;2013;13
15 Navarra, Comunidad Foral de;Chile;2012;23
15 Navarra, Comunidad Foral de;Chile;2011;36
15 Navarra, Comunidad Foral de;Chile;2010;20
15 Navarra, Comunidad Foral de;Chile;2009;32
15 Navarra, Comunidad Foral de;Chile;2008;71
15 Navarra, Comunidad Foral de;Ecuador;2021;275
15 Navarra, Comunidad Foral de;Ecuador;2020;239
15 Navarra, Comunidad Foral de;Ecuador;2019;394
15 Navarra, Comunidad Foral de;Ecuador;2018;363
15 Navarra, Comunidad Foral de;Ecuador;2017;330
15 Navarra, Comunidad Foral de;Ecuador;2016;219
15 Navarra, Comunidad Foral de;Ecuador;2015;133
15 Navarra, Comunidad Foral de;Ecuador;2014;137
15 Navarra, Comunidad Foral de;Ecuador;2013;177
15 Navarra, Comunidad Foral de;Ecuador;2012;165
15 Navarra, Comunidad Foral de;Ecuador;2011;219
15 Navarra, Comunidad Foral de;Ecuador;2010;222
15 Navarra, Comunidad Foral de;Ecuador;2009;435
15 Navarra, Comunidad Foral de;Ecuador;2008;900
15 Navarra, Comunidad Foral de;Paraguay;2021;28
15 Navarra, Comunidad Foral de;Paraguay;2020;23
15 Navarra, Comunidad Foral de;Paraguay;2019;35
15 Navarra, Comunidad Foral de;Paraguay;2018;35
15 Navarra, Comunidad Foral de;Paraguay;2017;43
15 Navarra, Comunidad Foral de;Paraguay;2016;41
15 Navarra, Comunidad Foral de;Paraguay;2015;19
15 Navarra, Comunidad Foral de;Paraguay;2014;10
15 Navarra, Comunidad Foral de;Paraguay;2013;14
15 Navarra, Comunidad Foral de;Paraguay;2012;12
15 Navarra, Comunidad Foral de;Paraguay;2011;26
15 Navarra, Comunidad Foral de;Paraguay;2010;26
15 Navarra, Comunidad Foral de;Paraguay;2009;12
15 Navarra, Comunidad Foral de;Paraguay;2008;41
15 Navarra, Comunidad Foral de;Peru;2021;307
15 Navarra, Comunidad Foral de;Peru;2020;339
15 Navarra, Comunidad Foral de;Peru;2019;607
15 Navarra, Comunidad Foral de;Peru;2018;412
15 Navarra, Comunidad Foral de;Peru;2017;302
15 Navarra, Comunidad Foral de;Peru;2016;163
15 Navarra, Comunidad Foral de;Peru;2015;101
15 Navarra, Comunidad Foral de;Peru;2014;116
15 Navarra, Comunidad Foral de;Peru;2013;93
15 Navarra, Comunidad Foral de;Peru;2012;114
15 Navarra, Comunidad Foral de;Peru;2011;166
15 Navarra, Comunidad Foral de;Peru;2010;149
15 Navarra, Comunidad Foral de;Peru;2009;277
15 Navarra, Comunidad Foral de;Peru;2008;528
15 Navarra, Comunidad Foral de;Uruguay;2021;11
15 Navarra, Comunidad Foral de;Uruguay;2020;11
15 Navarra, Comunidad Foral de;Uruguay;2019;16
15 Navarra, Comunidad Foral de;Uruguay;2018;16
15 Navarra, Comunidad Foral de;Uruguay;2017;16
15 Navarra, Comunidad Foral de;Uruguay;2016;16
15 Navarra, Comunidad Foral de;Uruguay;2015;8
15 Navarra, Comunidad Foral de;Uruguay;2014;13
15 Navarra, Comunidad Foral de;Uruguay;2013;8
15 Navarra, Comunidad Foral de;Uruguay;2012;17
15 Navarra, Comunidad Foral de;Uruguay;2011;4
15 Navarra, Comunidad Foral de;Uruguay;2010;8
15 Navarra, Comunidad Foral de;Uruguay;2009;7
15 Navarra, Comunidad Foral de;Uruguay;2008;17
15 Navarra, Comunidad Foral de;Venezuela;2021;188
15 Navarra, Comunidad Foral de;Venezuela;2020;201
15 Navarra, Comunidad Foral de;Venezuela;2019;505
15 Navarra, Comunidad Foral de;Venezuela;2018;422
15 Navarra, Comunidad Foral de;Venezuela;2017;247
15 Navarra, Comunidad Foral de;Venezuela;2016;118
15 Navarra, Comunidad Foral de;Venezuela;2015;95
15 Navarra, Comunidad Foral de;Venezuela;2014;51
15 Navarra, Comunidad Foral de;Venezuela;2013;39
15 Navarra, Comunidad Foral de;Venezuela;2012;39
15 Navarra, Comunidad Foral de;Venezuela;2011;62
15 Navarra, Comunidad Foral de;Venezuela;2010;43
15 Navarra, Comunidad Foral de;Venezuela;2009;34
15 Navarra, Comunidad Foral de;Venezuela;2008;49
15 Navarra, Comunidad Foral de;Other South American countries;2021;0
15 Navarra, Comunidad Foral de;Other South American countries;2020;0
15 Navarra, Comunidad Foral de;Other South American countries;2019;1
15 Navarra, Comunidad Foral de;Other South American countries;2018;0
15 Navarra, Comunidad Foral de;Other South American countries;2017;0
15 Navarra, Comunidad Foral de;Other South American countries;2016;""
15 Navarra, Comunidad Foral de;Other South American countries;2015;""
15 Navarra, Comunidad Foral de;Other South American countries;2014;""
15 Navarra, Comunidad Foral de;Other South American countries;2013;""
15 Navarra, Comunidad Foral de;Other South American countries;2012;""
15 Navarra, Comunidad Foral de;Other South American countries;2011;""
15 Navarra, Comunidad Foral de;Other South American countries;2010;""
15 Navarra, Comunidad Foral de;Other South American countries;2009;""
15 Navarra, Comunidad Foral de;Other South American countries;2008;""
15 Navarra, Comunidad Foral de;De Asia;2021;252
15 Navarra, Comunidad Foral de;De Asia;2020;168
15 Navarra, Comunidad Foral de;De Asia;2019;324
15 Navarra, Comunidad Foral de;De Asia;2018;280
15 Navarra, Comunidad Foral de;De Asia;2017;231
15 Navarra, Comunidad Foral de;De Asia;2016;167
15 Navarra, Comunidad Foral de;De Asia;2015;158
15 Navarra, Comunidad Foral de;De Asia;2014;164
15 Navarra, Comunidad Foral de;De Asia;2013;199
15 Navarra, Comunidad Foral de;De Asia;2012;220
15 Navarra, Comunidad Foral de;De Asia;2011;206
15 Navarra, Comunidad Foral de;De Asia;2010;216
15 Navarra, Comunidad Foral de;De Asia;2009;140
15 Navarra, Comunidad Foral de;De Asia;2008;252
15 Navarra, Comunidad Foral de;Bangladesh;2021;0
15 Navarra, Comunidad Foral de;Bangladesh;2020;1
15 Navarra, Comunidad Foral de;Bangladesh;2019;3
15 Navarra, Comunidad Foral de;Bangladesh;2018;0
15 Navarra, Comunidad Foral de;Bangladesh;2017;0
15 Navarra, Comunidad Foral de;Bangladesh;2016;2
15 Navarra, Comunidad Foral de;Bangladesh;2015;0
15 Navarra, Comunidad Foral de;Bangladesh;2014;2
15 Navarra, Comunidad Foral de;Bangladesh;2013;1
15 Navarra, Comunidad Foral de;Bangladesh;2012;11
15 Navarra, Comunidad Foral de;Bangladesh;2011;""
15 Navarra, Comunidad Foral de;Bangladesh;2010;3
15 Navarra, Comunidad Foral de;Bangladesh;2009;""
15 Navarra, Comunidad Foral de;Bangladesh;2008;""
15 Navarra, Comunidad Foral de;China;2021;25
15 Navarra, Comunidad Foral de;China;2020;25
15 Navarra, Comunidad Foral de;China;2019;78
15 Navarra, Comunidad Foral de;China;2018;84
15 Navarra, Comunidad Foral de;China;2017;74
15 Navarra, Comunidad Foral de;China;2016;53
15 Navarra, Comunidad Foral de;China;2015;73
15 Navarra, Comunidad Foral de;China;2014;63
15 Navarra, Comunidad Foral de;China;2013;77
15 Navarra, Comunidad Foral de;China;2012;66
15 Navarra, Comunidad Foral de;China;2011;89
15 Navarra, Comunidad Foral de;China;2010;79
15 Navarra, Comunidad Foral de;China;2009;70
15 Navarra, Comunidad Foral de;China;2008;95
15 Navarra, Comunidad Foral de;Philippines;2021;14
15 Navarra, Comunidad Foral de;Philippines;2020;7
15 Navarra, Comunidad Foral de;Philippines;2019;14
15 Navarra, Comunidad Foral de;Philippines;2018;21
15 Navarra, Comunidad Foral de;Philippines;2017;16
15 Navarra, Comunidad Foral de;Philippines;2016;18
15 Navarra, Comunidad Foral de;Philippines;2015;12
15 Navarra, Comunidad Foral de;Philippines;2014;8
15 Navarra, Comunidad Foral de;Philippines;2013;14
15 Navarra, Comunidad Foral de;Philippines;2012;21
15 Navarra, Comunidad Foral de;Philippines;2011;17
15 Navarra, Comunidad Foral de;Philippines;2010;19
15 Navarra, Comunidad Foral de;Philippines;2009;12
15 Navarra, Comunidad Foral de;Philippines;2008;15
15 Navarra, Comunidad Foral de;India;2021;22
15 Navarra, Comunidad Foral de;India;2020;24
15 Navarra, Comunidad Foral de;India;2019;31
15 Navarra, Comunidad Foral de;India;2018;10
15 Navarra, Comunidad Foral de;India;2017;3
15 Navarra, Comunidad Foral de;India;2016;3
15 Navarra, Comunidad Foral de;India;2015;8
15 Navarra, Comunidad Foral de;India;2014;11
15 Navarra, Comunidad Foral de;India;2013;7
15 Navarra, Comunidad Foral de;India;2012;5
15 Navarra, Comunidad Foral de;India;2011;6
15 Navarra, Comunidad Foral de;India;2010;7
15 Navarra, Comunidad Foral de;India;2009;2
15 Navarra, Comunidad Foral de;India;2008;13
15 Navarra, Comunidad Foral de;Pakistan;2021;60
15 Navarra, Comunidad Foral de;Pakistan;2020;75
15 Navarra, Comunidad Foral de;Pakistan;2019;94
15 Navarra, Comunidad Foral de;Pakistan;2018;86
15 Navarra, Comunidad Foral de;Pakistan;2017;39
15 Navarra, Comunidad Foral de;Pakistan;2016;29
15 Navarra, Comunidad Foral de;Pakistan;2015;22
15 Navarra, Comunidad Foral de;Pakistan;2014;30
15 Navarra, Comunidad Foral de;Pakistan;2013;48
15 Navarra, Comunidad Foral de;Pakistan;2012;50
15 Navarra, Comunidad Foral de;Pakistan;2011;56
15 Navarra, Comunidad Foral de;Pakistan;2010;60
15 Navarra, Comunidad Foral de;Pakistan;2009;23
15 Navarra, Comunidad Foral de;Pakistan;2008;37
15 Navarra, Comunidad Foral de;Other Asian countries;2021;131
15 Navarra, Comunidad Foral de;Other Asian countries;2020;36
15 Navarra, Comunidad Foral de;Other Asian countries;2019;104
15 Navarra, Comunidad Foral de;Other Asian countries;2018;79
15 Navarra, Comunidad Foral de;Other Asian countries;2017;99
15 Navarra, Comunidad Foral de;Other Asian countries;2016;62
15 Navarra, Comunidad Foral de;Other Asian countries;2015;43
15 Navarra, Comunidad Foral de;Other Asian countries;2014;51
15 Navarra, Comunidad Foral de;Other Asian countries;2013;51
15 Navarra, Comunidad Foral de;Other Asian countries;2012;67
15 Navarra, Comunidad Foral de;Other Asian countries;2011;38
15 Navarra, Comunidad Foral de;Other Asian countries;2010;48
15 Navarra, Comunidad Foral de;Other Asian countries;2009;33
15 Navarra, Comunidad Foral de;Other Asian countries;2008;92
15 Navarra, Comunidad Foral de;De Oceanía;2021;4
15 Navarra, Comunidad Foral de;De Oceanía;2020;0
15 Navarra, Comunidad Foral de;De Oceanía;2019;12
15 Navarra, Comunidad Foral de;De Oceanía;2018;11
15 Navarra, Comunidad Foral de;De Oceanía;2017;8
15 Navarra, Comunidad Foral de;De Oceanía;2016;7
15 Navarra, Comunidad Foral de;De Oceanía;2015;11
15 Navarra, Comunidad Foral de;De Oceanía;2014;6
15 Navarra, Comunidad Foral de;De Oceanía;2013;10
15 Navarra, Comunidad Foral de;De Oceanía;2012;5
15 Navarra, Comunidad Foral de;De Oceanía;2011;8
15 Navarra, Comunidad Foral de;De Oceanía;2010;5
15 Navarra, Comunidad Foral de;De Oceanía;2009;3
15 Navarra, Comunidad Foral de;De Oceanía;2008;8
15 Navarra, Comunidad Foral de;Stateless persons;2021;4
15 Navarra, Comunidad Foral de;Stateless persons;2020;5
15 Navarra, Comunidad Foral de;Stateless persons;2019;13
15 Navarra, Comunidad Foral de;Stateless persons;2018;6
15 Navarra, Comunidad Foral de;Stateless persons;2017;5
15 Navarra, Comunidad Foral de;Stateless persons;2016;2
15 Navarra, Comunidad Foral de;Stateless persons;2015;3
15 Navarra, Comunidad Foral de;Stateless persons;2014;3
15 Navarra, Comunidad Foral de;Stateless persons;2013;3
15 Navarra, Comunidad Foral de;Stateless persons;2012;""
15 Navarra, Comunidad Foral de;Stateless persons;2011;""
15 Navarra, Comunidad Foral de;Stateless persons;2010;""
15 Navarra, Comunidad Foral de;Stateless persons;2009;""
15 Navarra, Comunidad Foral de;Stateless persons;2008;""
16 País Vasco;Total;2021;14.257
16 País Vasco;Total;2020;15.603
16 País Vasco;Total;2019;26.499
16 País Vasco;Total;2018;21.357
16 País Vasco;Total;2017;17.616
16 País Vasco;Total;2016;14.129
16 País Vasco;Total;2015;10.860
16 País Vasco;Total;2014;9.829
16 País Vasco;Total;2013;8.927
16 País Vasco;Total;2012;9.664
16 País Vasco;Total;2011;12.504
16 País Vasco;Total;2010;12.113
16 País Vasco;Total;2009;12.434
16 País Vasco;Total;2008;17.846
16 País Vasco;Spanish ;2021;2.301
16 País Vasco;Spanish ;2020;1.899
16 País Vasco;Spanish ;2019;2.582
16 País Vasco;Spanish ;2018;2.587
16 País Vasco;Spanish ;2017;2.445
16 País Vasco;Spanish ;2016;2.027
16 País Vasco;Spanish ;2015;1.855
16 País Vasco;Spanish ;2014;1.470
16 País Vasco;Spanish ;2013;1.224
