Country Code,Year,Sex,Number of residents
DOM,2002,Male,11586
DOM,2001,Male,8919
DOM,2000,Male,6621
DOM,1999,Male,5094
DOM,1998,Male,3939
DOM,2022,Female,36735
DOM,2021,Female,38435
DOM,2020,Female,40876
DOM,2019,Female,40437
DOM,2018,Female,39590
DOM,2017,Female,38687
DOM,2016,Female,40072
DOM,2015,Female,42087
DOM,2014,Female,47840
DOM,2013,Female,52961
DOM,2012,Female,52856
DOM,2011,Female,52102
DOM,2010,Female,52385
DOM,2009,Female,50776
DOM,2008,Female,45073
DOM,2007,Female,38558
DOM,2006,Female,36972
DOM,2005,Female,35631
DOM,2004,Female,30813
DOM,2003,Female,29736
DOM,2002,Female,26244
DOM,2001,Female,22233
DOM,2000,Female,18227
DOM,1999,Female,15075
DOM,1998,Female,12749
USA,2022,Male,19076
USA,2021,Male,18245
USA,2020,Male,18779
USA,2019,Male,17124
USA,2018,Male,15940
USA,2017,Male,15206
USA,2016,Male,14544
USA,2015,Male,13896
USA,2014,Male,13701
USA,2013,Male,13646
USA,2012,Male,13458
USA,2011,Male,13023
USA,2010,Male,12807
USA,2009,Male,12515
USA,2008,Male,12104
USA,2007,Male,11168
USA,2006,Male,12481
USA,2005,Male,13207
USA,2004,Male,11379
USA,2003,Male,12084
USA,2002,Male,10253
USA,2001,Male,8929
USA,2000,Male,7922
USA,1999,Male,7119
USA,1998,Male,6396
USA,2022,Female,22877
USA,2021,Female,21567
USA,2020,Female,21933
USA,2019,Female,20228
USA,2018,Female,18765
USA,2017,Female,17748
USA,2016,Female,17013
USA,2015,Female,16287
USA,2014,Female,15670
USA,2013,Female,15097
USA,2012,Female,14398
USA,2011,Female,13588
USA,2010,Female,12964
USA,2009,Female,12419
USA,2008,Female,11799
USA,2007,Female,10914
USA,2006,Female,12036
USA,2005,Female,12624
USA,2004,Female,10805
USA,2003,Female,11314
USA,2002,Female,9693
USA,2001,Female,8528
USA,2000,Female,7798
USA,1999,Female,7285
USA,1998,Female,6505
ARG,2022,Male,46859
ARG,2021,Male,43338
ARG,2020,Male,43235
ARG,2019,Male,37616
ARG,2018,Male,34961
ARG,2017,Male,34144
ARG,2016,Male,35105
ARG,2015,Male,36893
ARG,2014,Male,41850
ARG,2013,Male,47842
ARG,2012,Male,53427
ARG,2011,Male,59275
ARG,2010,Male,65507
ARG,2009,Male,71056
ARG,2008,Male,73960
ARG,2007,Male,70853
ARG,2006,Male,76031
ARG,2005,Male,77587
ARG,2004,Male,66271
ARG,2003,Male,55809
ARG,2002,Male,28644
ARG,2001,Male,15958
ARG,2000,Male,11183
ARG,1999,Male,10152
ARG,1998,Male,9205
ARG,2022,Female,50398
ARG,2021,Female,46134
ARG,2020,Female,45794
ARG,2019,Female,40033
ARG,2018,Female,37440
ARG,2017,Female,36077
ARG,2016,Female,36750
ARG,2015,Female,38420
ARG,2014,Female,43953
ARG,2013,Female,50509
ARG,2012,Female,55831
ARG,2011,Female,61463
ARG,2010,Female,66742
ARG,2009,Female,71214
ARG,2008,Female,73422
ARG,2007,Female,70306
ARG,2006,Female,74221
ARG,2005,Female,75388
ARG,2004,Female,64580
ARG,2003,Female,53636
ARG,2002,Female,28070
ARG,2001,Female,16471
ARG,2000,Female,12168
ARG,1999,Female,10943
ARG,1998,Female,10110
BRA,2022,Male,33422
BRA,2021,Male,35055
BRA,2020,Male,36210
BRA,2019,Male,32267
BRA,2018,Male,28400
BRA,2017,Male,25937
BRA,2016,Male,24200
BRA,2015,Male,24103
BRA,2014,Male,26581
BRA,2013,Male,30787
BRA,2012,Male,34500
BRA,2011,Male,38399
BRA,2010,Male,44282
BRA,2009,Male,50001
BRA,2008,Male,46998
BRA,2007,Male,35563
BRA,2006,Male,27354
BRA,2005,Male,19458
BRA,2004,Male,12636
BRA,2003,Male,10251
BRA,2002,Male,7466
BRA,2001,Male,5258
BRA,2000,Male,3432
BRA,1999,Male,2615
BRA,1998,Male,2158
BRA,2022,Female,57623
BRA,2021,Female,60378
BRA,2020,Female,62445
BRA,2019,Female,58037
BRA,2018,Female,53312
BRA,2017,Female,50211
BRA,2016,Female,49198
BRA,2015,Female,49760
BRA,2014,Female,54551
BRA,2013,Female,61041
BRA,2012,Female,65370
BRA,2011,Female,69197
BRA,2010,Female,73526
BRA,2009,Female,76184
BRA,2008,Female,69550
BRA,2007,Female,54598
BRA,2006,Female,45087
BRA,2005,Female,34657
BRA,2004,Female,24812
BRA,2003,Female,21019
BRA,2002,Female,16253
BRA,2001,Female,11821
BRA,2000,Female,7694
BRA,1999,Female,5717
BRA,1998,Female,4551
COL,2022,Male,140516
COL,2021,Male,130754
COL,2020,Male,121782
COL,2019,Male,91804
COL,2018,Male,73871
COL,2017,Male,65081
COL,2016,Male,63304
COL,2015,Male,68203
COL,2014,Male,81381
COL,2013,Male,98690
COL,2012,Male,109687
COL,2011,Male,121748
COL,2010,Male,130831
COL,2009,Male,132705
COL,2008,Male,126481
COL,2007,Male,113930
COL,2006,Male,114994
COL,2005,Male,117757
COL,2004,Male,107162
COL,2003,Male,105058
COL,2002,Male,81018
COL,2001,Male,34854
COL,2000,Male,8388
COL,1999,Male,4289
COL,1998,Male,3218
COL,2022,Female,174163
COL,2021,Female,160997
COL,2020,Female,151268
COL,2019,Female,114915
COL,2018,Female,92047
COL,2017,Female,80277
COL,2016,Female,77223
COL,2015,Female,83055
COL,2014,Female,100494
COL,2013,Female,123852
COL,2012,Female,136658
COL,2011,Female,151428
COL,2010,Female,161810
COL,2009,Female,163969
COL,2008,Female,158100
COL,2007,Female,147612
COL,2006,Female,150147
COL,2005,Female,153482
COL,2004,Female,141732
COL,2003,Female,139626
COL,2002,Female,110000
COL,2001,Female,52355
COL,2000,Female,16859
COL,1999,Female,9111
COL,1998,Female,6779
ECU,2022,Male,65919
ECU,2021,Male,67699
ECU,2020,Male,70892
ECU,2019,Male,71125
ECU,2018,Male,72996
ECU,2017,Male,76242
ECU,2016,Male,84281
ECU,2015,Male,93184
ECU,2014,Male,113023
ECU,2013,Male,133657
ECU,2012,Male,154716
ECU,2011,Male,179125
ECU,2010,Male,197775
ECU,2009,Male,208063
ECU,2008,Male,210277
ECU,2007,Male,208009
ECU,2006,Male,224476
ECU,2005,Male,242150
ECU,2004,Male,230346
ECU,2003,Male,190448
ECU,2002,Male,128044
ECU,2001,Male,68493
ECU,2000,Male,9093
ECU,1999,Male,3005
ECU,1998,Male,1626
ECU,2022,Female,53966
ECU,2021,Female,56037
ECU,2020,Female,60027
ECU,2019,Female,60689
ECU,2018,Female,62279
ECU,2017,Female,65568
ECU,2016,Female,74004
ECU,2015,Female,83213
ECU,2014,Female,105860
ECU,2013,Female,129841
ECU,2012,Female,153458
ECU,2011,Female,181585
ECU,2010,Female,201811
ECU,2009,Female,213363
ECU,2008,Female,217441
ECU,2007,Female,219090
ECU,2006,Female,236834
ECU,2005,Female,255649
ECU,2004,Female,245352
ECU,2003,Female,199849
ECU,2002,Female,131478
ECU,2001,Female,70529
ECU,2000,Female,11388
ECU,1999,Female,4151
ECU,1998,Female,2346
PRY,2022,Male,28029
PRY,2021,Male,28022
PRY,2020,Male,27775
PRY,2019,Male,24639
PRY,2018,Male,22428
PRY,2017,Male,20471
PRY,2016,Male,19429
PRY,2015,Male,19344
PRY,2014,Male,21229
PRY,2013,Male,24082
PRY,2012,Male,26276
PRY,2011,Male,27281
PRY,2010,Male,28269
PRY,2009,Male,28293
PRY,2008,Male,23599
PRY,2007,Male,15724
PRY,2006,Male,9722
PRY,2005,Male,5987
PRY,2004,Male,2229
PRY,2003,Male,955
PRY,2002,Male,482
PRY,2001,Male,308
PRY,2000,Male,239
PRY,1999,Male,200
PRY,1998,Male,187
PRY,2022,Female,55936
PRY,2021,Female,57844
PRY,2020,Female,59270
PRY,2019,Female,55579
PRY,2018,Female,53290
PRY,2017,Female,50671
PRY,2016,Female,49857
PRY,2015,Female,50107
PRY,2014,Female,53681
