Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PAK,Both,25 - 34,3465,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,NIC,Females,0 - 14,71,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Both,65+,6,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,MAR,Females,65+,392,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,239464,2,1.35,44400000,0,0,0
2008,MAR,Females,All,31222,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,239464,2,1.35,44400000,0,0,0
2008,MAR,Males,0 - 14,6807,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,15 - 24,11529,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,25 - 34,14627,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,35 - 44,5413,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,45 - 54,1464,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,NIC,Both,All,2893,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,MAR,Males,55 - 64,431,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,MAR,Males,All,40539,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,NIC,Both,0 - 14,138,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,15 - 24,686,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,25 - 34,1175,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,35 - 44,641,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,45 - 54,211,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,NIC,Both,55 - 64,35,0.203,America,Central America and Caribbean,0.37,0.26,0.24,0,0,0,0,8404,6,12.94,44400000,1,0,0
2008,MAR,Males,65+,267,0.228,Africa,Africa,0.43,0.44,0.28,0,0,0,0,413231,2,1.35,44400000,0,0,0
2008,PAK,Both,35 - 44,1486,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,45 - 54,418,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PAK,Both,55 - 64,50,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,47001,6,6.49,44400000,0,0,0
2008,PRY,Both,35 - 44,2417,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,45 - 54,1168,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,55 - 64,302,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,65+,74,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Both,All,17407,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,67403,6,14.76,44400000,1,0,0
2008,PRY,Females,0 - 14,884,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,43804,6,14.76,44400000,1,0,0
